0x00200008, _start - Clears the uninitialized data region, initializes EE runtime services, runs main, and passes its result to Exit
0x002000B8, _exit - Loops indefinitely as the terminal fallback reached after program shutdown
0x0022C648, xglStudioFlushActiveCamera - Recomputes every active studio camera's screen, travel, and clipping transforms
0x0022C698, xglStudioGetLight2 - Returns the light block at the base of the currently selected studio
0x0022C6A0, xglStudioGetCamera2 - Returns the indexed camera from the currently selected studio
0x0022C6C8, xglStudioMainCameraInit - Enables camera zero in each studio, then restores studio zero as active
0x0022C720, xglStudioMainCameraMove - Selects studio zero and advances its primary camera's complete movement pipeline
0x0022C740, xglStudioInit - Initializes each studio's light and eight cameras before selecting studio zero
0x0022C7C8, xglStudioMove - Advances travel and movement for every active camera across all four studios
0x0022C868, xglStudioEntry - Initializes studio and main-camera state, then continuously advances both unless StudioEntrySkip suppresses updates
0x0022C8B8, xglRenderDrawFlip - Swaps draw buffers and submits the corresponding GS framebuffer register update through DMA
0x0022C960, xglRenderCopyDisp2Draw - Builds and submits GS transfer registers that copy the display framebuffer into the draw buffer
0x0022CA60, xglRenderDrawFlipPk - Appends GS transfer registers for copying the alternate framebuffer to the supplied VIF packet
0x0022CB80, xglRenderVSyncCallback - Increments the VSync counter and flags stalled GIF or VIF activity on the second sync
0x0022CBE0, xglRenderSyncInit - Registers the supplied vertical-sync callback and context through sceGsSyncVCallback
0x0022CC08, xglRenderSyncMove - Waits for vertical synchronization, detects missed frame timing, and resets the VSync counter
0x0022CC90, xglRenderDrawEnvInit - Encodes framebuffer dimensions, offsets, scissor bounds, tests, and GS register tags into the draw environment
0x0022D2A0, xglRenderDrawEnvMove - Updates draw-environment framebuffer bases, flushes their cache range, and submits the environment to GS
0x0022D338, xglRenderDispEnvInit - Builds the display environment from current output width, height, origin, and pixel mode
0x0022D3B8, xglRenderDispEnvMove - Updates display framebuffer and interpolation registers, then installs the environment and GS output registers
0x0022D528, xglRenderClearDepth - Selects the GS test mode that clears only the depth buffer
0x0022D540, xglRenderClearFrame - Selects the GS test mode that clears color and depth buffers
0x0022D558, xglRenderClearColor - Unpacks an ARGB value into the four global clear-color channels
0x0022D590, xglRenderClearEnvInit - Initializes clear-packet registers, black color, and centered rectangle coordinates from the display dimensions
0x0022D658, xglRenderClearEnvMove - Flushes the clear-environment cache range and submits its six-qword packet through DMA
0x0022D698, xglRenderSetReso - Selects a resolution and framebuffer layout, then rebuilds render environments and studio cameras
0x0022D770, xglRenderSwapBase - Exchanges display and draw framebuffer bases while clearing per-frame timing and status flags
0x0022D7B8, xglRenderDispOff - Clears the display-enable bit in the current GS display environment
0x0022D7D8, xglRenderDispOn - Sets the display-enable bit in the current GS display environment
0x0022D7F8, xglRenderInit - Resets GS paths, initializes resolution and timing state, then constructs model rendering resources
0x0022D8C8, xglRenderFinalPacket - Runs registered final-packet callbacks unless model rendering requested the back buffer
0x0022D940, xglRenderGlobalFadeInit - Marks global fading initialized and clears both the active fade value and auxiliary state
0x0022D958, xglRenderGlobalFadeSet - Clamps normalized RGBA components and packs them into the global fade color
0x0022DA60, xglRenderGlobalFade - Runs the fade callback and appends a full-screen translucent primitive when global fading is active
0x0022DBF8, xglRenderClearOn - Requests frame clearing after a two-frame activation delay
0x0022DC08, xglRenderClearOff - Disables automatic frame-buffer clearing for subsequent render frames
0x0022DC10, xglRenderClear - Updates clear colors and references the six-qword clear primitive from the current packet
0x0022DC78, xglRenderMove - Finalizes one render frame, synchronizes GS, swaps buffers, updates environments, and submits the packet
0x0022DDE8, xglRenderEntry - Initializes rendering, then continuously advances frames, sends sound commands, reads input, and sleeps
0x0022DE28, _VectorLengthSQ - Subtracts two four-component vectors and returns their squared Euclidean distance using VU arithmetic
0x0022DE58, _CurSetMatrix - Loads the supplied matrix rows at offsets 0x00, 0x10, 0x20, and 0x30 into VU registers vf27-vf30
0x0022DE70, _CurSetViewScaleTrans - Loads the view-scale vector into VU register vf25 and the view-translation vector into vf26
0x0022DE80, _CurRotTransPersClip - Transforms one vector by the current VU matrix, perspective-divides it, stores screen coordinates, and returns clip flags
0x0022DEE8, _CurRotTransPersFog - Transforms and perspective-divides one vector, then clamps its computed fog coordinate to the supplied bounds
0x0022DF28, _CurApplyMatrix - Multiplies one vector by the current four-row VU matrix and stores the transformed result
0x0022DF48, _WeightToGlobalVec - Blends four packed matrix weights, transforms them through the supplied matrix, and stores the resulting global vector
0x0022E000, _MinMaxSort - Stores componentwise minima in the first vector and maxima in the second
0x0022E020, CLEAR_LAYOUT_MODEL - Resets a model layout and seeds its transforms, lighting, placement, scaling, material, and visibility defaults
0x0022E200, CONSTRUCT_CIRCLR_SHADOW - Generates a radial 64-by-64 shadow texture, initializes its upload descriptors, and sets the default ratio
0x0022E428, CONSTRUCT_ALPHA_GROUP - Resets both alpha and non-alpha render-group counters to zero
0x0022E438, INIT_ALPHA_GROUP - Resets alpha-group bookkeeping by calling the shared group constructor
0x0022E450, FLUSH_ALPHA_GROUP - Resets both alpha and non-alpha render-group counters to zero
0x0022E460, CLEAR_PROREAL - Clears the Proreal pointer stored in the supplied model state
0x0022E468, CONSTRUCT_BACK_BUFFER - Clears back-buffer request fields, timing values, and pointers while setting the owner index to minus one
0x0022E4A0, INIT_BACK_BUFFER - Reinitializes back-buffer request fields and pointers while preserving the configured MPEG cross-fade time
0x0022E4D8, FLUSH_BACK_BUFFER - Clears the active back-buffer request flag after frame processing
0x0022E4E8, CONSTRUCT_PARENT_BUF - Resets the parent-buffer allocation counter, making all 512 entries available
0x0022E4F0, INIT_PARENT_BUF - Makes every parent-buffer slot available by resetting its allocation counter
0x0022E508, FLUSH_PARENT_BUF - Releases all parent-buffer records by resetting their allocation counter
0x0022E510, CONSTRUCT_MAP_HANDLE - Clears both words of the supplied map-handle record
0x0022E520, INIT_MAP_HANDLE - Clears the supplied two-word map handle through the common constructor
0x0022E538, CLEAR_MAP_HANDLE - Clears the map handle at the supplied storage address
0x0022E540, FLUSH_MAP_HANDLE - Clears the secondary status word in the supplied map handle
0x0022E548, CONSTRUCT_FADE_CONTROL - Initializes a fade controller with inactive timing, cleared flags, and default duration
0x0022E570, INIT_FADE_CONTROL - Initializes one fade controller with its direction, duration, colors, mode, and activation state
0x0022E588, CLEAR_MODEL_ENTRY - Resets transient model-entry visibility, material, texture, shadow, sorting, parent, shape, and clipping fields
0x0022E5C8, CONSTRUCT_MODELSYSTEM - Resets model queues, render flags, camera state, subwindows, global lights, and global fog parameters
0x0022E668, INIT_MODELSYSTEM - Rebuilds model-system counters, feature flags, camera state, global lighting, and fog defaults
0x0022E680, FLUSH_MODELSYSTEM - Captures the active camera transform, advances fade timers, and rotates render-cancellation state between frames
0x0022E710, nmlModelSetBackBufferClear - Cancels pending back-buffer work by reinitializing the shared request state
0x0022E728, nmlModelSetFaceModel - Sets model flag 0x100000 when the supplied face-model switch is nonzero
0x0022E750, nmlModelSetHumanModel - Sets model flag 0x40 when the supplied human-model switch is nonzero
0x0022E770, nmlModelSetMapClip - Enables map clipping when the supplied switch is nonzero
0x0022E788, nmlModelSendRenderCancel - Returns immediately because render-cancel signaling is not implemented here
0x0022E790, nmlModelGetRenderCancel - Returns the render-cancellation flag captured from the previous model frame
0x0022E798, nmlModelSendBackBufferSignal - Marks the model renderer to use the back buffer
0x0022E7A8, nmlModelIsBackBufferRequest - Reports whether a back-buffer request is currently pending
0x0022E7B8, nmlModelSendPauseSignal - Stores the requested model-renderer pause state for subsequent frames
0x0022E7C0, nmlModelSendMenuStart - Marks the model renderer as operating under an active menu
0x0022E7D0, nmlModelSendMenuEnd - Clears the model renderer's active-menu status for subsequent frames
0x0022E7D8, nmlModelGetMenuStatus - Returns whether the model renderer is currently operating under an active menu
0x0022E7E0, nmlModelSendSignalStartBattle - Sets the model-system flag that disables frame locking during battle startup
0x0022E7F0, nmlModelSendSignalEventFinish - Requests release of the model renderer's event frame lock
0x0022E800, nmlModelSendPacketChangeSignal - Clears model packet-switch signaling and its associated status word
0x0022E810, nmlModelSendSignalMovieStart - Resets the model back buffer and all four fade-control records before movie playback
0x0022E858, nmlModelSetMpeg2CrossFadeTime - Stores the duration used for MPEG back-buffer cross-fades
0x0022E868, nmlModelSendSignalMovieFinish - Restores a mode-specific back buffer and schedules fade cancellation after movie playback
0x0022E970, nmlModelSetRenderLevel - Adds the supplied flags to the pending model render-level mask
0x0022E988, fade_render - Advances one fade controller and optionally appends its full-screen colored blend primitive to the packet
0x0022EC48, nmlFadePacketWrite - Renders all four model fade controllers into the packet and clears the pending-fade flag
0x0022ECA8, fade_set - Initializes a fade controller from normalized color, duration, direction, mode, and completion parameters
0x0022ED20, nmlModelSetFadeOutLock - Enables the global lock controlling model fade-out processing
0x0022ED30, nmlModelSetFadeOutLockOff - Disables the global lock controlling model fade-out processing
0x0022ED40, nmlModelSetActiveFadeInCancel - Stores a nonnegative cancellation delay for the active fade-in controller
0x0022ED58, nmlModelSetFadeInCancel - Stores a nonnegative cancellation delay for the normal fade-in controller
0x0022ED70, nmlModelSetActiveFadeOutCancel - Stores a nonnegative cancellation delay for the active fade-out controller
0x0022ED88, nmlModelSetFadeOutCancel - Stores a nonnegative cancellation delay for the normal fade-out controller
0x0022EDA0, nmlModelFadeDoit - Decrements each of the four active model fade countdowns without allowing zero counters to underflow
0x0022EE08, nmlModelSetFadeDoit - Marks model fades for processing during the next render pass
0x0022EE18, nmlModelSetFadeOutDispose - Marks the normal fade-out controller for deferred disposal
0x0022EE28, nmlModelSetFadeInDispose - Marks the normal fade-in controller for deferred disposal
0x0022EE38, nmlModelSetFadeOut - Configures the standard fade-out controller from color, level, duration, and mode arguments
0x0022EE78, nmlModelSetFadeIn - Configures the standard fade-in controller from color, level, duration, and mode arguments
0x0022EF00, nmlModelSetFadeInInterrupt - Replaces the normal fade-in controller's RGB levels and timing without changing its mode
0x0022EF48, nmlModelSetActiveFadeOut - Starts an active fade-out from packed RGB color when its controller is idle
0x0022F078, nmlModelSetActiveFadeIn - Configures the active fade-in controller using normalized packed color components and caller timing
0x0022F1A8, nmlModelGetFadeLevel - Reports whether any of the four model fade controllers is active
0x0022F1F0, nmlModelAskNonLinearCamera - Detects a main-camera warp from position and angle discontinuities, returning true once nonlinear movement is confirmed
0x0022F2C0, nmlModelGetGblPosition - Copies the current global model position vector to the caller
0x0022F2E0, nmlModelSetBackBufferToBattle - Configures a forty-frame back-buffer transition using the supplied battle state pointer
0x0022F310, nmlModelSetBackBufferToEventSkip - Configures a forty-frame back-buffer transition using the supplied event-skip state pointer
0x0022F340, nmlModelSetBackBuffer - Configures a pending back-buffer request, clamping its frame duration to at least one
0x0022F378, nmlModelSetEffectWrite - Stores whether model effect output should be written during rendering
0x0022F380, nmlModelUseSubWindow - Stores the enable value for subwindow indices zero through three and ignores out-of-range indices
0x0022F3A8, nmlModelSetWindow - Selects a model subwindow index when it lies below four
0x0022F3C0, nmlModelSetSortOffset - Stores the depth-sorting offset for the next model entry
0x0022F3C8, nmlModelSetGlobalPointLight - For light indices 0-2, copies the four-component point position, scales the supplied color by 128, and marks global point-light data dirty
0x0022F430, nmlModelSetGlobalPointLightCol - Scales and stores the supplied color for global point-light indices below three
0x0022F488, nmlModelSetGlobalPointLightPos - Copies a four-component position for point-light indices below three and marks global point lighting dirty
0x0022F4D0, nmlModelSetGlobalPointLightReset - Clears all global point-light colors and removes the point-light dirty flag
0x0022F510, nmlModelSetPointLight - Stores position and scaled color for local point-light indices below three
0x0022F578, nmlModelSetSpecularOff - Sets specular-control bit two when disabling specular rendering is requested
0x0022F598, nmlModelSetShadowMapId - Returns immediately because shadow-map identifier selection is not implemented here
0x0022F5A0, nmlModelSetShadowHeight - Enables and stores the pending model shadow height
0x0022F5B8, nmlModelSetShadowVec - Copies the supplied XYZ direction into global shadow-vector state
0x0022F5D8, nmlModelSetTexMap - Stores texture-map parameters, clamps alpha to 0-128, and selects the corresponding projection-mode flag
0x0022F680, nmlModelSetProreal - Derives Proreal texture coordinates, transforms, transfer registers, and shared rendering state from the supplied model layout
0x0022FA50, nmlModelSetTexProreal - Enables the texture proreal rendering mode by setting model flag 0x800
0x0022FA68, nmlModelSetAxisSymmetry - Enables axis symmetry and stores the transformed symmetry parameter in shared model state
0x0022FA90, nmlModelSetParent - Stores the parent model pointer for the next model entry
0x0022FA98, nmlModelSetRenderStatus - Adds supported status bits 0x100 or 0x200 to the global model-render state
0x0022FAE0, nmlModelSetShapeId - Appends a shape identifier and weight while fewer than thirty-two overrides are queued
0x0022FB28, nmlModelSetToumeiParts - Appends a transparent-part identifier and alpha value while fewer than sixteen overrides are queued
0x0022FB70, nmlModelSetFilter - Clamps filter intensity, stores filter flags, and enables stealth rendering after its field-mode startup delay
0x0022FC00, nmlModelSetPixelAlpha - Clamps and stores the global model pixel alpha between zero and 128
0x0022FC28, nmlModelSetPartsPixelAlpha - Appends a part-specific pixel-alpha override after clamping alpha between zero and 128
0x0022FC88, nmlModelSetScale - Copies the scale vector, records its largest XYZ component, and clamps the culling scale to at least one
0x0022FD00, nmlModelSetClip - Stores the clipping mode for the next model entry
0x0022FD08, nmlModelSetAlpha - Stores the alpha mode for the next model entry
0x0022FD18, nmlModelSetStencil - Enables stencil processing by setting model flag four when requested
0x0022FD38, nmlModelSetZwrite - Enables depth-buffer writes by setting model flag eight when requested
0x0022FD58, nmlModelSetTransparency - Clamps normalized transparency and stores it as both current and pending model opacity
0x0022FDA0, nmlModelSetReflTransparency - Clamps and stores normalized reflection transparency for the next model entry
0x0022FDE0, nmlModelSetToumei - Enables transparent-part handling by setting model flag 0x20 when requested
0x0022FE00, nmlModelSetLight - Copies two complete light matrices into model globals and marks local lighting data present
0x0022FE60, nmlModelSetTexture - Accepts an aligned in-range XTX resource pointer and installs it as the current model texture
0x0022FEB8, nmlModelSetTexfunc - Stores the texture-function mode for the next model entry
0x0022FEC8, nmlModelSetMatrix - Stores the transform matrix pointer for the next model entry
0x0022FED8, nmlModelSetPlace - Stores a placement matrix and calculates its inverse for subsequent model transformations
0x0022FF38, nmlModelSetTexOffset - Copies a texture name, offset, and matching identifier into the pending model override state
0x0022FF98, nmlModelSetMatOffset - Copies a material name and four-component multiplication color into the pending material override state
0x00230000, nmlModelSetMulColor - Copies the supplied four-component multiplicative color into model render state
0x00230018, nmlModelSetFogCol - Copies the four-component local fog color and sets the local-fog color flag
0x00230040, nmlModelFogPara - Converts near and far fog distances into scale and offset parameters, handling degenerate ranges
0x00230108, nmlModelSetFogDist - Converts near and far distances into local fog scale and offset parameters
0x00230148, nmlModelSetGlobalFogCol - Copies the four-component global fog color and marks global fog color data present
0x00230178, nmlModelSetGlobalFogDist - Converts near and far distances into global fog scale and offset parameters
0x002301B0, nmlModelGetFogPara - Projects local fog parameters through the active camera and returns the clamped GS fog value
0x00230268, nmlModelGetFogParaStudio - Projects fog parameters through a selected studio camera and returns the clamped GS fog value
0x00230320, nmlModelSetGlobalFogReset - Clears the global-fog override flag while leaving stored fog values intact
0x00230340, nmlModelSetFogCancel - Adds the fog-cancellation flag to global model render state
0x00230358, nmlModelInitPartsVisible - Sets or clears the hidden flag on every model part when lexical data is valid
0x002303E8, nmlModelSetMapEntry - Marks the next model as a map handle and sets map-entry flag 0x10000
0x00230410, nmlModelSetShadowMapEntry - Marks the next model as a shadow-map entry by setting flag 0x10000
0x00230430, nmlModelSetMapShadowParts - Appends a part identifier to the eight-entry map-shadow inclusion list
0x00230468, nmlModelSetMapLastEntry - Appends a block identifier to the twelve-entry deferred map-render list
0x002304A8, nmlModelSetMapLastInit - Clears the count of model layouts deferred to the map-last queue
0x002304B0, nmlModelSetPartsVisible - Validates model data and changes visibility for every block matching the supplied part identifier
0x002305B0, nmlModelSetNameVisible - Changes block visibility by exact, prefix, or substring name matching after validating model data
0x002307A8, nmlModelDirectSend - Queues a typed direct-render entry, converting attribute data when required and enforcing the queue limit
0x002308A8, nmlModelDirectXtxSub - Emits GS upload setup and texture data for each XTX image record to separate direct streams
0x00230998, nmlModelDirectSendXtx - Validates an aligned XTX texture block and queues it for direct rendering
0x00230A28, set_group_status - Translates model feature flags into compact render-group bits and records whether any group writes depth
0x00230B98, AlphaGroupSortEntry - Projects an alpha group's sort position through the active camera and stores its depth key
0x00230C00, AlphaGroupLastEntry - Moves deferred map-last blocks into alpha groups, initializes each group's flags, and advances queue counters
0x00230D68, AlphaGroupSort - Sorts alpha groups in descending depth order with repeated adjacent swaps
0x00230DD8, is_shadow_map_parts - Returns whether the part identifier appears in the configured eight-entry shadow-map list
0x00230E28, is_parts_transparency - Returns whether the part identifier appears in the configured sixteen-entry transparency list
0x00230E80, is_block_last_entry - Returns whether the block identifier appears in the twelve-entry map-last list
0x00230ED8, parent_buf_entry - Allocates and clears one of 512 parent-buffer records, returning null when the pool is full
0x00230F28, parent_buf_search - Searches allocated parent-buffer records for the requested model pointer and returns its record or null
0x00230FA0, set_circle_shadow_ratio - Computes circle-shadow width and depth ratios from model bounds, scale, and configured shadow height
0x00231028, nmlModelLexDataCheck - Validates range, alignment, LEX signature, name termination, texture metadata, and required model data pointers
0x00231108, nmlModelLexBlockDoit - Advances material animation, applies matching color overrides, and generates bounded shape weights for every model block
0x00231480, nmlModelStealthEntry - Builds one or ten stealth-filter samples, computes projected depth, and sorts multipass entries by depth
0x002315F8, nmlModelCalcSample - Computes model sample positions from weighted bones and current transforms for later lighting and culling
0x00231840, nmlModelCalcEntryClip - Tests model bounds against enabled studio cameras, storing visibility bits and returning complete rejection
0x00231998, deapth_for_studio - Projects a point through the active studio camera and returns field-of-view-adjusted screen depth
0x00231A38, nmlModelCalcSpecularClip - Computes view-dependent specular attenuation, including face-material and studio-depth adjustments, then stores the multiplier
0x00231D50, nmlModelCalcDropShadow - Builds a flattened shadow transform from model placement, scale, ground height, and configured shadow vector
0x00231E70, nmlModelCalcEntryProjectCircle - Projects the model onto a circular ground shadow and queues its generated render transform
0x002322C8, nmlModelCalcEntryProjectMap - Derives map-projection orientation and scale from surface vectors, then queues the projected model entry
0x002328E0, nmlModelCalcEntryPartsClip - Transforms each part's weighted bounds and writes per-part camera clipping masks
0x00232B00, nmlModelEntry - Validates and prepares a model, computes lighting and clipping, then partitions visible parts into render groups
0x00233980, nmlModelEntryEffect - Prepares an effect model, allocates packet attributes, and partitions its parts into alpha and opaque queues
0x00233DD8, nmlModelEntryCard - Prepares a card model with specular disabled, then queues its transparent and opaque parts separately
0x00234238, nmlModelRenderProreal - Renders eligible non-alpha model groups with overlap, shadow-part, and volume-cube visibility checks
0x002347D0, nmlModelRenderTexture - Renders selected model parts into a texture target, fills it, then restores normal scissoring
0x00234A68, nmlModelRenderCircle - Uploads a scaled circular shadow texture and renders the first eligible model part
0x00234B70, nmlModelRenderDropCircle - Uploads a scaled circular shadow texture and generates its projected model texture
0x00234C40, nmlModelRenderDrop - Renders eligible model parts with alpha blending into the configured drop-shadow target
0x00234E28, nmlModelFlushSubNonAlpha - Emits opaque model groups with cached GS state, texture uploads, microcode, and per-part attribute packets
0x002351F0, nmlModelFlushSubAlpha - Sorts and emits transparent model groups while updating Z-buffer, alpha, texture, and microcode state
0x00235A08, nmlModelFlushSub - Builds the complete model render packet, dispatching opaque and transparent passes plus optional post-filters
0x00235ED8, nmlModelConstruct - Constructs model, shadow, back-buffer, grouping, parent, map, and fade-control state, then clears models
0x00235F60, nmlModelInit - Reinitializes model, back-buffer, grouping, parent, and map state, then clears all models
0x00235FC0, nmlModelClear - Resets the model layout and clears its Proreal rendering pointer
0x00235FF8, nmlModelFlush - Finalizes deferred alpha groups, sorts them by depth, emits all model packets, and resets group state
0x00236408, nmlModelFlushClear - Finalizes model-system frame state and resets alpha-group bookkeeping
0x00236448, _CurMatrixSet - Loads the supplied four-row matrix into the current VU matrix registers
0x00236460, _CurMatrixGet - Stores VU matrix registers vf27-vf30 to the output matrix rows at offsets 0x00-0x30
0x00236478, _CurMatrixMul - Multiplies the current VU matrix by the supplied four-row matrix
0x002364E0, _CurApplyMatrix - Multiplies one vector by the current four-row VU matrix and stores the transformed result
0x00236500, _CurMatrixMul33norm - Transforms and normalizes the supplied three-row orientation matrix through the current VU matrix
0x002365C0, _CurSetViewScaleTrans - Loads the view-scale vector into VU register vf25 and the view-translation vector into vf26
0x002365D0, _CurRotTransPersClip - Projects a transformed vector, stores screen and reciprocal-depth outputs, and returns six VU clipping flags
0x00236640, _CurSetMatrix - Loads the supplied matrix rows at offsets 0x00, 0x10, 0x20, and 0x30 into VU registers vf27-vf30
0x00236658, nmlPacketAddGsFlush - Uploads queued GS register writes through standard microcode and resets the register queue
0x002367D0, nmlPacketAddGsFlushWide - Uploads queued GS register writes through wide microcode and resets the register queue
0x00236950, nmlPacketAddReflectParam - Uploads two reflection-texture descriptors and a clamped intensity vector to VU memory
0x00236B98, nmlPacketAddTransMicrocodeInit - Starts model packet construction, resets rendering caches, advances reflection rotation, and uploads an identity transform
0x00236CB0, nmlPacketAddTransMicrocode - Selects and references the required VU transform microcode from model and material flags
0x00236F78, nmlPacketAddScreen - Appends current screen-scale and translation parameters to the model packet
0x00237030, nmlPacketAddPixelTestPacket - Appends a VIF unpack block containing three qwords of pixel-test parameters at VU address 0x3FA
0x00237140, nmlPacketAddWaitMicrocode - Appends a VIF wait-for-microprogram command to the current model packet
0x00237178, nmlPacketAddBlockMaterial - Derives block material colors and alpha from model overrides, then uploads them to VU memory
0x00237588, nmlPacketMakeCircleTexture - Projects circle-shadow geometry through the active camera and builds its textured vertex packet
0x00237AC0, nmlPacketSendCircleTexture - Appends VIF transfers that upload the circular shadow image and its palette into GS memory
0x00237C38, nmlPacketTextureTrans - Appends GS transfer commands and inline image references for every texture attached to the model resource
0x00237D80, nmlPacketClrTextureCache - Invalidates the cached texture pointer so the next packet reloads texture state
0x00237D88, nmlPacketClrModelCache - Invalidates cached model, matrix, model-layout, and light-layout pointers
0x00237DA0, nmlPacketAddTexture - Queues uncached model textures when required and reports whether projected packet usage exceeds two MiB
0x00237EE8, nmlPacketAddParts - Uploads a model part's matrices, normals, lights, and attributes while reusing cached state and checking packet capacity
0x002384E8, nmlPacketAddTextureParam - Derives texture registers from material and model flags, queues changed GS state, and uploads texture parameters
0x002386C8, add_exec_prog - Selects and appends a VU microprogram address from material, model, and program-mode flags
0x00238BA8, nmlPacketAddExecProg - Chooses one or two VU programs for model flags, inserting waits and transform data as required
0x00238DA8, nmlPacketAddTransData - References an aligned model transform-data block in the current VIF packet
0x00238E00, nmlPacketSetAttributeData - Allocates aligned packet-tail storage, copies caller attribute bytes, and returns the new storage pointer
0x00238E60, nmlPacketSetAttributeData64 - Reserves sixty-four packet-tail bytes and copies one attribute record into them
0x00238EC8, nmlPacketSetAttributeData64N - Reserves and copies multiple sixty-four-byte attribute records into packet-tail storage
0x00238F50, nmlPacketSetAttributeData16N - Reserves and copies multiple sixteen-byte attribute records into packet-tail storage
0x00238FC0, nmlPacketSetAttributeAlloc16N - Reserves the requested number of 16-byte records from the current packet tail and returns their address
0x00239000, nmlPacketAddGifTag - Builds and uploads a model GIF tag selected from material and rendering flags
0x002391B0, nmlPacketAddGifTagStandard - Builds and uploads the standard model GIF tag to VU memory
0x00239250, nmlPacketAddFog - Selects main or subwindow fog intensity and uploads the packed value to VU memory
0x00239330, nmlPacketAddPixelControl - Derives alpha-test and blend state from material flags and emits changed GS pixel-control registers
0x00239978, nmlPacketDirectData - Appends a referenced data block unless projected packet usage exceeds two MiB, returning overflow status
0x00239A08, nmlPacketSetCurrent - Refreshes the cached model-packet pointer from the globally active packet builder
0x00239A28, nmlPacketAddReflRot - Builds and uploads a reflection rotation matrix according to material flags and rotation mode
0x00239B00, nmlPacketAddScreenClear - Flushes pending wide GS state before clearing the model screen packet
0x00239C80, nmlPacketGsInit - Resets the pending GS register-entry count to zero
0x00239C88, nmlPacketAddGsClamp - Queues a CLAMP register value in the pending GS command list
0x00239CB8, nmlPacketAddGsPixeltest - Queues a TEST register value for GS context zero
0x00239CF0, nmlPacketAddGsPixeltest1 - Queues a TEST register value for GS context one
0x00239D28, nmlPacketAddGsZbuf - Queues a masked ZBUF value targeting GS context zero and advances the register-entry count
0x00239D70, nmlPacketAddGsZbuf1 - Queues a masked ZBUF value targeting GS context one and advances the register-entry count
0x00239DB8, nmlPacketAddGsTexture - Queues a zero TEXFLUSH register value in the pending GS command list
0x00239DF0, nmlPacketAddGsAlpha - Queues an ALPHA register value for GS context zero
0x00239E20, nmlPacketAddGsAlpha1 - Queues an ALPHA register value for GS context one
0x00239E50, nmlPacketAddGsScissor - Queues a SCISSOR register value for GS context zero
0x00239E80, nmlPacketAddGsScissor1 - Queues a SCISSOR register value for GS context one
0x00239EB0, nmlPacketAddGsFBA - Queues a normalized FBA enable value for GS context zero
0x00239EF0, nmlPacketAddGsFBA1 - Queues a normalized FBA enable value for GS context one
0x00239F30, nmlPacketAddGsFogCol - Packs RGB components into a FOGCOL register entry and appends it to the GS queue
0x0023A048, nmlPacketAddGsFrame - Packs framebuffer base, width, format, and mask into a context-zero FRAME entry
0x0023A0B8, nmlPacketAddGsFrame1 - Packs framebuffer base, width, format, and mask into a context-one FRAME entry
0x0023A128, nmlPacketAddGsPAbe - Queues a PABE register value in the pending GS command list
0x0023A158, nmlPacketAddGsPrmode - Packs primitive rendering flags into a PRMODE register entry and advances the GS queue
0x0023A1A0, nmlPacketAddGsPrmodecont - Queues a PRMODECONT register value in the pending GS command list
0x0023A1D0, packet_gs_entry32 - Appends two 32-bit payload words and a masked register address to the GS entry queue
0x0023A218, packet_gs_entry64 - Appends one 64-bit payload and a masked register address to the GS entry queue
0x0023A260, nmlPacketAddGsFba - Queues the supplied FBA register value for GS context zero
0x0023A290, _CurSetMatrix - Loads the supplied four-row matrix into the current VU matrix registers
0x0023A2A8, _CurSetViewScaleTrans - Loads the view-scale vector into VU register vf25 and the view-translation vector into vf26
0x0023A2B8, _CurRotTransPersClip - Transforms and perspective-projects one vector, stores screen coordinates, and returns six VU clipping flags
0x0023A320, nmlModelSetFilterGunosys - Generates a sinusoidally distorted screen grid and emits its filter geometry through queued GS commands
0x0023A828, nmlModelSetFilterStealth - Emits projected stealth samples with staged GS state, then overlays a translucent screen rectangle
0x0023B168, _WeightToGlobalPlaceInit - Loads four placement-matrix rows into VU registers used by subsequent weighted-vector transforms
0x0023B180, _WeightToGlobalPlaceVec - Blends packed bone weights, applies source and placement matrices, and stores the resulting global position
0x0023B218, _VectorLengthSQ - Returns the squared three-dimensional distance between the supplied vectors
0x0023B248, nmlFilterStealthMake - Allocates stealth-filter vertices, transforms weighted model positions, and writes projected sample geometry and color parameters
0x0023CA20, nmlFilterSetPacket - Dispatches enabled model filter bits to the Gunosys or stealth packet generator
0x0023CAF8, nmlFilterSetFrameToBuffer - Queues GS transfer registers that copy the selected framebuffer into the texture buffer
0x0023CC00, nmlFilterSetBufferToFrame - Queues GS transfer registers that copy the texture buffer into the selected framebuffer
0x0023CD08, nmlFilterSetBufferRender - Configures GS state for blending the display buffer with the supplied opacity
0x0023CEF8, nmlFilterSetFrameAlphaClear - Configures GS state and draws a full-screen primitive that clears framebuffer alpha
0x0023D010, nmlFilterSetTexClear - Configures GS state and draws a full-screen primitive that clears the texture buffer
0x0023D110, nmlFilterBackClear - Configures the back framebuffer and draws a full-screen clearing primitive without depth writes
0x0023D1F8, nmlFilterSetFlatRender - Configures dual-frame GS blending state from a model's flat-render opacity
0x0023D458, nmlFilterSetTexFillDraw - Emits successive GS state blocks that fill, blend, and border a rendered model texture
0x0023D8B8, nmlFilterSetVolumeCubeRender - Clips an axis-aligned volume against the active camera and draws its visible screen-space faces
0x0023E0E0, culling_matrix - Builds a transform from cell translation, rotation, and scale, then converts its eight corners into world space
0x0023E2B8, culling_cell_disp - Returns immediately because individual culling-cell display is not implemented here
